screen	title	route	device	surface_kind	status	stale	version	n_sections	n_components	n_actions	n_inputs	consumes_apis	required_roles	realizes_use_cases	covered_by_acceptances	uses_constants	static_renders	impl_status	impl_modules	purpose_len
SCREEN-001	세션 인계 진입 화면	/ingress	desktop		draft	False	4	2	2	0	0						1	implemented	0	84
SCREEN-002	역할 클레임 화면	/role-claim	desktop		draft	False	4	3	6	1	2	API-007					1	implemented	0	62
SCREEN-003	접근 거부 화면	/forbidden	desktop		draft	False	3	2	5	1	0						1	implemented	0	50
SCREEN-004	개발용 로그인 화면	/dev/login	desktop		draft	False	3	2	8	1	3						1	implemented	0	71
SCREEN-005	라벨링 캔버스 화면	/label/:id	desktop	web	draft	False	18	14	65	28	8	API-018;API-019;API-020;API-021;API-024;API-032;API-033;API-034;API-035;API-036;API-066;API-067;API-102;API-103;API-104;API-105;API-123;API-124;API-125;API-126;API-127;API-128;API-129;API-132;API-134;API-133;API-135;API-093;API-182					1	implemented	0	483
SCREEN-006	마킹 화면	/marking/:rawSn	responsive	web	draft	True	10	5	15	4	1	API-047;API-043;API-091					0	planned	0	932
SCREEN-007	영상 목록 화면	/video/completed	responsive	web	draft	False	8	6	26	6	7	API-042;API-047;API-070;API-071					0	planned	0	388
SCREEN-009	영상 상세 화면	/video/:id	desktop	web	draft	True	10	6	19	5	0	API-021;API-043;API-044;API-112					1	implemented	0	507
SCREEN-010	라벨 이력 화면	/history/:videoId	desktop	web	draft	True	8	4	11	2	1	API-034;API-035;API-036					1	implemented	0	493
SCREEN-011	대시보드 화면	/dashboard	desktop		draft	False	5	6	19	1	0	API-042;API-055;API-072					1	implemented	0	62
SCREEN-012	작업 목록 화면	/task	desktop	web	draft	False	11	7	34	13	7	API-001;API-002;API-070;API-071;API-072;API-073;API-136;API-137					1	implemented	0	536
SCREEN-018	검수 목록 화면	/review	desktop	web	draft	True	6	3	13	3	2	API-008;API-138					1	implemented	0	459
SCREEN-019	검수 상세 화면	/review/:id	desktop		draft	True	5	7	20	4	1	API-009;API-010;API-011;API-013;API-014;API-015;API-021					1	implemented	0	80
SCREEN-020	작업자 통계 화면	/stat	desktop		draft	False	5	5	11	0	1	API-001;API-056					1	implemented	0	77
SCREEN-021	전체 구축 현황 화면	/stat/overall	desktop		draft	False	5	7	14	1	0	API-057;API-058					1	implemented	0	63
SCREEN-022	증강 요청 화면	/augment	desktop	web	draft	False	9	5	22	5	2	API-042;API-059;API-060;API-092					1	implemented	0	911
SCREEN-023	증강 결과 화면	/augment/result/:jobId	desktop	web	draft	False	5	6	21	5	0	API-061;API-062;API-063					1	implemented	0	1061
SCREEN-024	사용자 관리 화면	/manage/users	desktop		draft	True	6	5	20	8	5	API-001;API-004					1	implemented	0	67
SCREEN-025	시스템 설정 화면	/manage/settings	desktop		draft	True	5	4	19	4	1	API-068;API-069;API-090					1	implemented	0	110
SCREEN-026	프리셋 관리 화면	/manage/presets	desktop	web	draft	False	8	5	21	7	3	API-037;API-038;API-039;API-040					1	implemented	0	65
SCREEN-027	오토라벨 테스트 화면 (개발)	/dev/autolabel-test	desktop	web	draft	False	5	2	21	2	8	API-043					1	implemented	0	125
SCREEN-030	공지 목록 화면	/notice	desktop	web	draft	False	6	3	7	2	2	API-095;API-097	ROLE-001;ROLE-002				2	implemented	0	253
SCREEN-031	공지 상세 화면	/notice/:id	desktop	web	draft	False	7	5	24	10	3	API-096;API-098;API-099;API-100;API-101;API-106;API-107;API-108	ROLE-001;ROLE-002				2	implemented	0	249
SCREEN-032	비식별 신고 관리 화면	/manage/deident-reports	desktop	web	draft	False	5	3	7	1	0	API-094;API-109	ROLE-001				1	implemented	0	859
SCREEN-035	라벨 관리 화면	/manage/labels	responsive	web	draft	False	1	5	21	11	5	API-024;API-025;API-026;API-027;API-028;API-029;API-030;API-031	ROLE-001				0	planned	0	491
